"","research","marketing","morale","sales"
"1",503,493,3.21,5935
"2",512,884,3.3,18889
"3",626,1093,3.29,28752
"4",649,1236,3.24,36756
"5",612,1223,3.61,35909
"6",616,1201,3.23,34714
"7",803,1227,3.25,36224
"8",786,1420,3.14,48485
"9",837,1411,3.3,47853
"10",932,1160,3.7,32410
"11",1174,1162,3.36,32493
"12",1114,1232,3.71,36601
"13",992,1333,3.5,42731
"14",1072,1392,3.24,46735
"15",1185,1325,3.32,42290
"16",1222,1265,3.67,38490
"17",1202,1124,3.49,30458
"18",1210,1075,3.64,27854
"19",1163,942,3.69,21330
"20",1162,702,3.44,11879
"21",1185,728,3.59,12749
"22",1257,901,3.38,19578
"23",1214,971,3.32,22814
"24",1220,845,3.64,17290
"25",1114,902,3.78,19577
"26",1094,951,3.72,21651
"27",1283,1016,3.8,24833
"28",1399,1074,3.84,27913
"29",1300,1115,3.49,30000
"30",1244,1224,3.55,36045
"31",1328,1304,3.64,40899
"32",1521,1353,3.83,43911
"33",1613,1261,3.84,38355
"34",1541,1376,3.67,45672
"35",1540,1544,3.52,57320
"36",1560,1558,3.61,58384
"37",1547,1463,3.84,51685
"38",1598,1414,3.64,48061
"39",1682,1471,3.69,51893
"40",1686,1432,3.82,49190
"41",1631,1417,4.12,48513
"42",1463,1344,4.02,42969
"43",1436,1335,3.99,42709
"44",1642,1468,3.36,52053
"45",1752,1621,3.71,63238
"46",1632,1788,3.51,76509
"47",1587,1830,3.82,80481
"48",1792,1671,3.67,67392
"49",2027,1666,3.66,66351
"50",2005,1861,4.09,82762
"51",2084,1950,3.94,91002
"52",2115,1903,3.66,86916
"53",2057,1791,3.59,76554
"54",2065,1909,3.57,87463
"55",2073,1752,3.6,73792
"56",1886,1774,3.66,75524
"57",1930,1962,4.01,92622
"58",1902,2191,3.67,115274
"59",1732,2289,3.98,126279
"60",1591,2225,3.69,119064
"61",1518,2130,4.32,108501
"62",1572,1937,4.09,90808
"63",1684,1865,4.19,83603
"64",1828,2050,4.06,100923
"65",1997,2383,4.16,136173
"66",1932,2357,3.84,133153
"67",2033,2335,4.04,130599
"68",2168,2291,3.67,126157
"69",2052,2371,4.27,135063
"70",1899,2317,4.15,129083
"71",1688,2382,4.17,136461
"72",1684,2458,3.93,144851
"73",1734,2279,4.23,124592
"74",1774,2343,4.07,132391
"75",1710,2427,3.98,141816
"76",1770,2436,3.79,142211
"77",1674,2390,4.12,137570
"78",1547,2355,4.4,133517
"79",1526,2454,4.06,145134
"80",1543,2438,4.27,143170
"81",1677,2351,4.03,132990
"82",1647,2412,4.38,139731
"83",1456,2470,3.83,146212
"84",1296,2491,4.37,148858
"85",1344,2576,4.15,159828
"86",1477,2774,4.1,184674
"87",1440,3129,4.4,235299
"88",1475,3114,4.22,232631
"89",1663,3128,4.05,234628
"90",1780,3202,4.4,246285
"91",1675,3122,3.85,234449
"92",1667,3100,4.34,230072
"93",1776,3202,4.31,246080
"94",1721,3291,4.4,260463
"95",1571,3149,4.42,238781
"96",1527,3054,4.18,224002
"97",1472,3068,4.15,226237
"98",1577,2987,4.21,213734
"99",1541,3008,4.65,216711
"100",1601,2801,4.29,187780
"101",1488,2782,4.4,184940
"102",1276,2880,4.64,199750
"103",1207,3173,4.37,241948
"104",1140,3480,4.69,289478
"105",1298,3517,4.51,297201
"106",1256,3543,4.52,301308
"107",1334,3439,4.64,283783
"108",1426,3172,4.33,242160
"109",1600,3012,3.96,217129
"110",1831,3081,4.54,227813
"111",1976,3236,4.12,251896
"112",2069,3188,4.49,244170
"113",2101,3221,4.9,248652
"114",2062,3301,4.23,260737
"115",1944,3158,4.58,239131
"116",1926,3198,5.03,246050
"117",2083,3307,4.66,262277
"118",2227,3374,4.68,272849
"119",2173,3469,4.37,289543
"120",2064,3742,4.69,335962
"121",2020,3989,4.55,381209
"122",2010,3908,4.31,365317
"123",1954,3899,4.6,365279
"124",1855,4096,4.44,402100
"125",1823,4116,4.43,407237
"126",1946,4035,4.32,391244
"127",2110,4003,4.34,384795
"128",2077,3935,4.77,370953
"129",2060,3782,4.63,343332
"130",1975,3793,4.8,345513
"131",2141,3824,4.65,351769
"132",2275,3920,4.47,367506
"133",2327,3933,4.82,371301
"134",2277,4009,4.99,386291
"135",2192,4010,4.93,386167
"136",2082,3885,4.86,362696
"137",2294,3986,4.5,381468
"138",2496,4227,4.75,429064
"139",2534,4319,5.17,447676
"140",2617,4330,4.65,451182
"141",2695,4151,4.82,414685
"142",2897,4015,4.96,386672
"143",2955,4096,4.62,403694
"144",2894,4109,5.08,404895
"145",2812,3930,4.83,370795
"146",2707,3940,4.3,373508
"147",2715,4029,5.02,388389
"148",2838,4068,4.9,396193
"149",2739,4157,4.93,414784
"150",2474,4191,4.9,420961
"151",2303,4043,4.9,391922
"152",2247,3994,4.94,382481
"153",2184,4182,5.14,421155
"154",2182,4321,5.03,448475
"155",2237,4500,4.38,486510
"156",2253,4531,4.92,492597
"157",2313,4413,5.28,467274
"158",2256,4340,4.92,452443
"159",2221,4316,5.02,448005
"160",2339,4224,5.09,428147
"161",2268,4244,4.74,431450
"162",2205,4273,4.93,438221
"163",2390,4249,5.26,433272
"164",2522,4273,5.08,438261
"165",2587,4526,5.16,491500
"166",2662,4546,5.19,496825
"167",2797,4555,5.16,498685
"168",2838,4653,4.72,518784
"169",2985,4450,5.33,475517
"170",3062,4347,5.1,453511
"171",2953,4374,5.26,459156
"172",2879,4320,5.35,447132
"173",2943,4157,5.09,414004
"174",2892,3976,5.14,380020
"175",2839,3951,4.95,375216
"176",2817,3867,5.47,358767
"177",2808,3804,5.27,347344
"178",2727,3828,5.29,350942
"179",2594,3953,5.43,373185
"180",2483,4020,5.25,388933
"181",2432,4072,5.18,397793
"182",2359,3953,5.34,374598
"183",2316,3862,5.31,357370
"184",2627,4031,5.54,390021
"185",2890,4190,5.19,421000
"186",2950,4308,5.6,446726
"187",2945,4354,5.6,455071
"188",2906,4289,5.51,441330
"189",2810,4224,5.38,427332
"190",2769,4340,5.55,452548
"191",2867,4409,5.14,464180
"192",3084,4344,5.21,453859
"193",3248,4442,5.54,475024
"194",3355,4496,5.25,484791
"195",3551,4417,5.4,468709
"196",3659,4478,5.44,479928
"197",3547,4555,5.36,496994
"198",3498,4714,5.25,533421
"199",3356,4667,5.3,522901
"200",3389,4686,6.05,525952
"201",3568,4849,5.9,564211
"202",3599,4879,5.69,571070
"203",3288,4998,5.7,600880
"204",3170,5023,5.45,604217
"205",3065,4957,5.55,590857
"206",3026,5048,5.58,610808
"207",3154,4993,5.34,598728
"208",3165,4806,6.02,553790
"209",3082,4792,5.81,550652
"210",2950,5031,5.56,605337
"211",2916,5119,5.57,628902
"212",2986,5019,5.93,604211
"213",2918,5042,5.58,608287
"214",2906,5036,5.73,607344
"215",2954,5172,5.52,641142
"216",3208,5335,5.78,683257
"217",3401,5502,5.74,727336
"218",3493,5706,5.54,778268
"219",3559,5704,5.81,782451
"220",3421,5545,5.34,738151
"221",3446,5341,5.65,684906
"222",3511,5192,5.45,648520
"223",3698,5161,6.01,639706
"224",3785,5291,5.81,672889
"225",3748,5370,5.72,692564
"226",3583,5487,5.9,722405
"227",3574,5504,5.69,727004
"228",3413,5539,5.6,737838
"229",3437,5492,5.58,724560
"230",3501,5533,5.26,734207
"231",3455,5560,5.7,739810
"232",3354,5487,5.9,721147
"233",3376,5567,5.82,743728
"234",3417,5815,5.82,810944
"235",3340,6013,6.08,867873
"236",3362,6141,5.44,904819
"237",3485,6124,5.79,898244
"238",3737,5870,5.99,825822
"239",3892,5614,5.6,756193
"240",4080,5554,5.77,739864
"241",4039,5763,6.16,797690
"242",3836,5883,5.69,832202
"243",3767,5845,5.94,818425
"244",3639,5806,6.23,808115
"245",3649,5707,5.59,783922
"246",3812,5756,6.12,795224
"247",3814,5782,5.96,799045
"248",3681,5623,5.84,758726
"249",3597,5598,5.81,752093
"250",3558,5683,6.13,775559
"251",3535,5692,5.71,779240
"252",3522,5721,6.02,785076
"253",3743,5706,5.87,782530
"254",3955,5677,6.03,773754
"255",3887,5646,5.98,765082
"256",3934,5643,6.18,764350
"257",3847,5632,6.79,762024
"258",3904,5593,6.24,750322
"259",3846,5773,5.8,799460
"260",3760,5676,6.03,773163
"261",3709,5826,6.07,816711
"262",3522,5977,5.95,858152
"263",3317,6023,5.98,873620
"264",3294,6124,6.17,900378
"265",3146,6226,6.46,931621
"266",2995,6046,5.77,879068
"267",3034,5989,5.84,860926
"268",3237,5875,6.46,828052
"269",3565,5943,6.75,847281
"270",3813,6130,6.35,902214
"271",3860,6140,6.27,902519
"272",3836,6203,6.09,921801
"273",4002,6369,6.33,973631
"274",4055,6235,6.39,935069
"275",3930,6131,6.12,901736
"276",3896,6171,5.98,914154
"277",3761,6205,6.32,925137
"278",3629,6227,6.39,931691
"279",3454,6089,6.28,890088
"280",3262,6053,6.48,877997
"281",3084,6073,6.37,887038
"282",3122,6048,6.74,877042
"283",3127,6251,6.63,936969
"284",3124,6248,6.66,938341
"285",3277,6221,6.59,927001
"286",3356,6041,6.27,879089
"287",3315,5951,6.34,848301
"288",3482,5936,6.56,844958
"289",3565,5937,6.48,847844
"290",3549,6047,6.38,880037
"291",3532,6179,6.46,913594
"292",3487,6518,6.14,1020037
"293",3453,6532,6.01,1025902
"294",3499,6390,6.17,979127
"295",3614,6367,6.25,974695
"296",3824,6298,6.8,954021
"297",3845,6365,6.59,973937
"298",3909,6677,6.68,1070297
"299",3920,6743,6.91,1091436
"300",3881,6659,6.72,1064172
"301",3800,6715,6.53,1079964
"302",3796,6561,6.36,1033798
"303",3926,6750,6.5,1092292
"304",4013,6945,6.74,1158759
"305",4113,7038,7.11,1187065
"306",4002,7158,6.26,1232449
"307",3848,7099,6.63,1210363
"308",3739,6894,6.31,1141361
"309",3819,6890,6.72,1138134
"310",3872,6834,7.27,1122465
"311",3734,6597,6.65,1044631
"312",3680,6458,6.88,1002816
"313",3608,6565,6.42,1033314
"314",3722,6756,6.8,1095899
"315",3869,6758,6.49,1096421
"316",3942,6764,6.92,1099558
"317",3766,6780,6.96,1101716
"318",3846,6857,6.65,1130235
"319",4102,6946,6.72,1158950
"320",4067,6903,6.98,1143913
"321",3921,6888,6.79,1136392
"322",3891,6867,6.76,1131395
"323",3988,6897,6.54,1142356
"324",4073,7039,7.04,1189179
"325",4098,6973,6.87,1167673
"326",4128,7153,6.66,1230300
"327",4263,7298,7.04,1277235
"328",4350,7555,6.96,1370710
"329",4550,7754,6.99,1440556
"330",4509,7830,6.71,1471908
"331",4614,7896,7.31,1494400
"332",4672,7844,7.03,1474776
"333",4507,7652,6.99,1406987
"334",4295,7467,6.85,1337138
"335",4279,7443,7,1330141
"336",4303,7443,6.55,1331676
"337",4247,7540,6.69,1366281
"338",4276,7648,6.8,1405561
"339",4191,7701,7.13,1425389
"340",4322,7625,6.95,1392604
"341",4493,7590,7.07,1384323
"342",4500,7710,7.55,1429355
"343",4334,7809,6.92,1461049
"344",4219,7775,7.1,1450310
"345",4094,7875,7.1,1490097
"346",4096,8002,7.05,1538308
"347",4011,8008,7.07,1539523
"348",4142,8042,7.18,1551538
"349",4265,7868,7.17,1489399
"350",4302,7809,7.14,1464221
"351",4666,7922,7.28,1507741
"352",4891,8014,6.95,1540303
"353",4974,8102,6.79,1571973
"354",4849,8281,7.05,1644156
"355",4750,8392,6.89,1690820
"356",4713,8290,7.15,1650217
"357",4657,8216,7.03,1618712
"358",4568,8311,6.99,1658420
"359",4682,8300,7.11,1650654
"360",4721,8346,7.27,1672240
"361",4562,8356,7.29,1673286
"362",4584,8476,7.04,1723026
"363",4423,8475,6.65,1724858
"364",4440,8296,7.24,1652182
"365",4412,8221,7.22,1617479
"366",4582,8341,7.25,1669220
"367",4779,8321,7.15,1660961
"368",4930,8321,7.13,1661145
"369",5122,8352,7.63,1672418
"370",5044,8529,7.36,1747418
"371",5049,8509,7.05,1738450
"372",5055,8518,7.31,1739399
"373",5007,8740,7.57,1831554
"374",5138,8732,7.2,1830760
"375",5209,8563,7.28,1763013
"376",5249,8591,7.29,1772510
